ANT1,16.26,-15.47,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,18.75,-7.46,0.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C1-EP-DR,1.76,-1.13,270.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,15.32,-7.88,270.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C11,16.55,-7.67,270.00,100pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C12,17.28,-3.51,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,20.47,-3.06,0.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C14,18.16,2.10,90.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,21.78,-0.21,270.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,21.57,2.86,90.00,47nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C17,17.97,5.27,90.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C18,14.01,3.52,0.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C19,7.63,1.76,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,21.65,-5.30,270.00,12pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C2-EP-DR,-2.34,-3.82,180.00,4.7uF/25V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,4.33,-0.11,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,4.58,1.55,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,19.54,-13.17,90.00,N.C.,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C23,-17.37,14.25,270.00,0.1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C24,-16.22,14.31,270.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,-19.91,8.39,270.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,20.51,9.33,0.00,0.1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C29,-11.94,-12.17,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C3,14.81,-11.99,270.00,1pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C30,-3.26,-14.54,270.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C31,10.73,-12.14,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C32,4.11,9.98,0.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C33,-18.70,8.41,270.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,-21.31,8.50,270.00,0.1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C37,5.04,7.93,90.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C38,1.12,4.48,90.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C39,3.89,7.86,90.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C4,18.39,-12.46,90.00,1pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C42,-7.12,15.59,270.00,0.1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C43,-8.21,15.60,270.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,16.19,1.83,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,4.39,-14.40,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,8.88,1.73,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,8.35,-5.80,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,11.91,-7.54,270.00,820pF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,1.26,-7.50,90.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D2,-6.03,-6.95,270.00,MBR0503,ESP32_C6_LIBRARY_5_SOD3716X135N
D4,-2.43,-6.95,90.00,MBR0503,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-5.07,1.52,0.00,MBR0503,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-9.22,7.71,270.00,iuF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,-9.33,-7.26,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,-15.60,-9.51,89.30,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,-14.49,-9.51,90.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,-10.38,7.84,270.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,-9.80,2.77,270.00,0.1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,-8.51,1.98,270.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,-9.39,-4.00,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,-9.39,-5.07,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,-9.40,-6.16,180.00,1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,4.13,4.63,90.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,-15.59,10.32,0.00,RT6160AWSC_RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
IC3,9.07,4.24,180.00,BMA423_BMA423,BMA423_BMA423
IC4,-4.48,9.05,270.00,DRV2605YZFR_DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
J1,12.59,11.87,180.00,TC2030-IDC_TC2030-IDC,TC2030-IDC_TC2030IDC
J2,-13.70,0.00,270.00,503480-2400_503480-2400,503480-2400_5034802400
J3,0.00,13.84,180.00,KH-TYPE-C-16P_KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,16.61,-12.18,270.00,3.9nH,MLP2016SR47MT0S1_INDC2016X100N
L2,19.89,2.87,90.40,10uH,MLP2016SR47MT0S1_INDC2016X100N
L3,20.40,6.18,0.00,10nH,MLP2016SR47MT0S1_INDC2016X100N
L5,-0.48,1.48,180.00,68uH,MLP2016SR47MT0S1_INDC2016X100N
L7,-19.96,12.25,270.00,MLP2016SR47MT0S1_FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,6.00,-11.69,180.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-0.84,4.47,270.00,ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R1,-1.28,-12.70,270.00,10k,ERA-1AEB3401C_0201
R17,-12.40,15.43,0.00,3k3,ERA-1AEB3401C_0201
R18,-11.86,15.44,0.00,3k3,ERA-1AEB3401C_0201
R1_EP_DR,-3.15,4.24,90.00,0.47,ERA-1AEB3401C_0201
R1_USB,1.26,10.18,180.00,5k1,ERA-1AEB3401C_0201
R2,-11.35,10.99,90.00,0,ERA-1AEB3401C_0201
R2_EP_DR,-4.33,5.80,180.00,10K,ERA-1AEB3401C_0201
R2_USB,-2.07,9.93,0.00,5k1,ERA-1AEB3401C_0201
R3,11.40,4.44,0.00,0,ERA-1AEB3401C_0201
R4,-12.33,12.38,90.00,0,ERA-1AEB3401C_0201
R5,9.84,-11.11,180.00,10k,ERA-1AEB3401C_0201
R6,-12.59,-11.17,180.00,10k,ERA-1AEB3401C_0201
R9,3.86,2.74,90.00,10k,CPF0201D7K68C1_0201
